airline_name,overall_rating,verified,aircraft,type_of_traveller,seat_type,seat_comfort,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,wifi_connectivity,value_for_money,recommended,time_before_review,departure_place,arrival_place,delay_cancellation,review_date
AB Aviation,9.0,True,Unknown,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,2.15,1.81,3.0,yes,1 month,Moroni,Moheli,False,2019-11-01
AB Aviation,1.0,True,Others,Solo Leisure,Economy Class,2.0,2.0,1.0,1.0,2.15,1.81,2.0,no,1 month,Moroni,Anjouan,False,2019-06-01
AB Aviation,1.0,True,Others,Solo Leisure,Economy Class,2.0,1.0,1.0,1.0,2.15,1.81,2.0,no,1 month,Anjouan,Dzaoudzi,False,2019-06-01
Adria Airways,1.0,False,Unknown,Solo Leisure,Economy Class,1.0,1.0,2.56,1.0,2.15,1.81,1.0,no,1 month,Frankfurt,Pristina,True,2019-09-01
Adria Airways,1.0,True,Unknown,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,1 month,Sofia,Amsterdam,True,2019-09-01
Adria Airways,1.0,True,Others,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,1 month,Sarajevo,Ljubljana,True,2019-09-01
Adria Airways,1.0,False,Unknown,Business,Economy Class,1.0,1.0,1.0,1.0,2.15,1.81,1.0,no,1 month,Ljubljana,Zürich,True,2019-09-01
Adria Airways,1.0,False,Others,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,1 month,Timisoara,Munich,True,2019-08-01
Adria Airways,1.0,True,Unknown,Solo Leisure,Economy Class,1.0,2.0,1.0,1.0,1.0,1.0,1.0,no,1 month,Pristina,Zürich,False,2019-08-01
Adria Airways,8.0,True,Unknown,Family Leisure,Economy Class,4.0,4.0,3.0,5.0,2.15,1.81,5.0,yes,1 month,Ljubljana,Munich,False,2018-10-01
Adria Airways,1.0,False,Unknown,Business,Economy Class,2.0,1.0,2.56,1.0,1.0,1.0,1.0,no,1 month,Zurich,Ljubljana,True,2018-10-01
Adria Airways,1.0,True,Unknown,Family Leisure,Economy Class,4.0,1.0,1.0,4.0,2.15,1.81,1.0,no,1 month,Vienna,Sofia,True,2018-07-01
Adria Airways,2.0,True,Unknown,Solo Leisure,Economy Class,3.0,3.0,2.56,3.0,2.15,1.81,2.0,no,2-3 months,Paris,Skopje,True,2018-07-01
Adria Airways,2.0,True,Unknown,Business,Economy Class,1.0,2.0,2.0,2.0,2.15,1.81,1.0,no,1 month,Ljubljana,Munich,False,2018-06-01
Adria Airways,3.0,True,A319,Couple Leisure,Economy Class,3.0,3.0,2.56,1.0,2.15,1.81,1.0,no,1 month,Ljubljana,Prague,True,2018-06-01
Adria Airways,1.0,True,Unknown,Business,Economy Class,5.0,5.0,5.0,5.0,2.15,1.81,5.0,yes,1 month,Frankfurt,Ljubljana,False,2018-05-01
Adria Airways,1.0,True,Unknown,Solo Leisure,Economy Class,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no,1 month,Ljubljana,Frankfurt,True,2018-03-01
Adria Airways,3.0,True,Others,Solo Leisure,Economy Class,2.0,4.0,1.0,1.0,2.15,1.81,3.0,no,2-3 months,Ljubljana,Vienna,False,2017-12-01
Adria Airways,9.0,True,Others,Business,Economy Class,5.0,5.0,3.0,5.0,2.15,1.81,3.0,yes,1 month,Ljubljana,Sarajevo,True,2017-11-01
Adria Airways,2.0,False,Unknown,Couple Leisure,Economy Class,3.0,3.0,2.56,1.0,2.15,1.81,1.0,no,1 month,Zurich,Ljubjana,False,2017-10-01
Adria Airways,2.0,False,Unknown,Family Leisure,Economy Class,3.0,4.0,1.0,1.0,2.15,1.0,2.0,no,2-3 months,Ljubljana,Munich ,False,2017-09-01
Adria Airways,9.0,False,Others,Business,Economy Class,5.0,5.0,4.0,5.0,4.0,1.81,4.0,yes,1 month,Ljubljana,Zurich,True,2017-04-01
