airline_name,overall_rating,verified,aircraft,type_of_traveller,seat_type,seat_comfort,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,wifi_connectivity,value_for_money,recommended,time_before_review,delay_cancellation,review_date,country
Korean Air,9.0,True,Unknown,Family Leisure,Economy Class,5.0,4.0,5.0,4.0,2.0,1.81,5.0,yes,1 month,False,2019-04-01,Japan
Hong Kong Airlines,8.0,True,A330,Couple Leisure,Business Class,4.0,4.0,3.0,4.0,3.0,1.81,5.0,yes,2-3 months,False,2018-09-01,Japan
Hong Kong Airlines,3.0,True,A320,Couple Leisure,Economy Class,2.0,3.0,1.0,2.0,1.0,1.81,3.0,no,1 month,True,2024-03-01,Japan
China Airlines,1.0,True,Boeing 777-300,Solo Leisure,Economy Class,5.0,5.0,5.0,4.0,5.0,1.81,3.0,yes,1 month,False,2019-10-01,Japan
Tigerair,2.0,False,A319,Family Leisure,Economy Class,3.0,3.0,2.56,1.0,2.15,1.81,1.0,no,1 month,False,2017-06-01,Indonesia
Royal Brunei Airlines,1.0,True,A320-200,Business,Economy Class,5.0,5.0,5.0,5.0,2.15,1.81,5.0,yes,1 month,True,2017-12-01,Indonesia
Korean Air,2.0,True,Unknown,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,2.15,1.81,1.0,no,1 month,False,2022-05-01,Indonesia
China Airlines,1.0,True,A350-900,Family Leisure,First Class,4.0,5.0,5.0,5.0,5.0,1.81,5.0,yes,1 month,True,2020-03-01,Indonesia
China Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,2.15,1.81,5.0,yes,1 month,False,2019-05-01,India
Dragonair,1.0,False,A320,Business,Business Class,5.0,2.0,3.0,1.0,2.15,1.81,3.0,no,1 month,False,2015-10-01,China
China Southern Airlines,9.0,True,Unknown,Family Leisure,Economy Class,4.0,4.0,4.0,5.0,4.0,1.81,5.0,yes,1 month,False,2021-10-01,China
China Southern Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,1 month,False,2021-10-01,China
China Southern Airlines,9.0,True,A380,Business,Economy Class,4.0,4.0,4.0,5.0,2.15,1.81,4.0,yes,1 month,False,2021-11-01,China
China Southern Airlines,6.0,True,Boeing 787-9,Business,Economy Class,3.0,4.0,4.0,3.0,5.0,2.0,4.0,yes,1 month,False,2021-12-01,China
China Southern Airlines,1.0,True,Unknown,Business,Economy Class,4.0,4.0,4.0,5.0,4.0,4.0,4.0,yes,1 month,False,2021-12-01,China
China Southern Airlines,8.0,True,A380,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,5.0,5.0,4.0,yes,1 month,False,2022-03-01,China
China Southern Airlines,8.0,True,Unknown,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,4.0,4.0,4.0,yes,1 month,False,2022-03-01,China
China Southern Airlines,9.0,True,Unknown,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,2.15,1.81,5.0,yes,1 month,False,2022-03-01,China
China Southern Airlines,9.0,True,Unknown,Business,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,1 month,False,2022-03-01,China
China Southern Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,2.0,5.0,4.0,5.0,5.0,1.81,5.0,yes,1 month,False,2022-03-01,China
China Southern Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,2.0,5.0,yes,1 month,False,2022-04-01,China
China Southern Airlines,1.0,True,Boeing 787,Family Leisure,Economy Class,5.0,5.0,4.0,5.0,5.0,1.81,4.0,yes,1 month,False,2022-05-01,China
China Southern Airlines,1.0,True,Unknown,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,1.81,5.0,yes,1 month,False,2022-07-01,China
China Southern Airlines,9.0,True,Unknown,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,4.0,1.81,5.0,yes,1 month,False,2022-08-01,China
China Southern Airlines,8.0,True,A380,Solo Leisure,Business Class,5.0,4.0,3.0,5.0,3.0,1.81,4.0,yes,1 month,False,2022-08-01,China
China Southern Airlines,9.0,False,Boeing 787-9,Solo Leisure,Business Class,5.0,5.0,4.0,5.0,4.0,1.81,4.0,yes,1 month,False,2022-08-01,China
China Southern Airlines,9.0,True,Unknown,Business,Economy Class,4.0,4.0,4.0,5.0,4.0,1.81,4.0,yes,1 month,False,2022-08-01,China
China Southern Airlines,1.0,True,Unknown,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.81,5.0,yes,1 month,False,2022-09-01,China
China Southern Airlines,1.0,True,A330,Business,Economy Class,5.0,5.0,5.0,5.0,2.15,1.81,5.0,yes,1 month,False,2022-09-01,China
China Southern Airlines,9.0,True,A380,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,1.81,5.0,yes,1 month,False,2022-09-01,China
China Southern Airlines,9.0,True,Unknown,Solo Leisure,Business Class,4.0,4.0,4.0,5.0,4.0,1.81,4.0,yes,1 month,False,2022-09-01,China
China Southern Airlines,1.0,True,Boeing 787,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,5.0,4.0,5.0,yes,1 month,True,2022-09-01,China
China Southern Airlines,9.0,True,Boeing 787,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,1.81,5.0,yes,1 month,True,2022-09-01,China
